S0,S1,S2,S3
8.671867691897016117e-01,5.196689686686550846e-01,-2.680418644879529674e-02,-2.143264383721924515e-01
8.698196802082155399e-01,5.377068591960920685e-01,-2.864639814816202085e-02,-2.001291049684658929e-01
8.648823508400685922e-01,5.277614686821310297e-01,-5.254307764387429469e-02,-1.808851009590366765e-01
8.670620804456677932e-01,5.302417948922701907e-01,-4.598914281792463449e-02,-1.774176823928108881e-01
8.665614619250119333e-01,5.425225719229948007e-01,-5.395900751206073043e-02,-1.656877589722215993e-01
8.652496607539171825e-01,5.362168859578509972e-01,-7.102531781344606499e-02,-1.642170941004803264e-01
8.653548331865467125e-01,5.369962017010770916e-01,-8.038979741595601858e-02,-1.457197416837707205e-01
8.664585441676273536e-01,5.417427277761630577e-01,-7.743912330866700722e-02,-1.368063497024443187e-01
8.671647766272208013e-01,5.394466866024295593e-01,-1.012743550387361080e-01,-1.334222472174161900e-01
8.661361554929366546e-01,5.339950250394498443e-01,-9.580996492484626648e-02,-1.178978748540510380e-01
8.658240745925570581e-01,5.361790390831101538e-01,-1.039626205846306967e-01,-1.046675922929114766e-01
8.669687378518153853e-01,5.316845020280942524e-01,-1.146545814589113449e-01,-9.402676733075247817e-02
8.726357662881942812e-01,5.406907919969374809e-01,-1.205149274511648633e-01,-9.169092242949385130e-02
8.625801015856506826e-01,5.299184432613012197e-01,-1.370407522410022061e-01,-7.893890055388705362e-02
8.695620289973479133e-01,5.274233213801966524e-01,-1.151120661514858784e-01,-6.634229176202011136e-02
8.657212149504427412e-01,5.124370273146138244e-01,-1.436669094512486589e-01,-4.829759129111067112e-02
8.659810062421309240e-01,5.122607147049269560e-01,-1.638173821657519513e-01,-4.010921376766750368e-02
8.674409704006127431e-01,5.087199848839958349e-01,-1.520087841502701376e-01,-3.701265883222448067e-02
8.611229784174356805e-01,5.045469159486896116e-01,-1.640313675031270790e-01,-1.752564148720368864e-02
8.595546332839534287e-01,4.901093735234016147e-01,-1.717121967559249451e-01,-1.616474036346876586e-02
8.614492392554625733e-01,4.869145390053218891e-01,-1.828708754308439322e-01,4.836277163692515209e-03
8.647066438355939244e-01,4.815570069645999651e-01,-1.822362288783657691e-01,-1.234733373438766900e-03
8.625749204878490062e-01,4.683778467864082584e-01,-1.932695366683101768e-01,7.259383424883954737e-03
8.609538909455340949e-01,4.530560091544241219e-01,-2.021019264755903322e-01,2.731056249732834174e-02
8.650701633830809589e-01,4.500916198417843073e-01,-1.967020095334122698e-01,2.867482769926113159e-02
8.610084645672926307e-01,4.226302136637736795e-01,-2.073491537074390323e-01,3.185142891345965621e-02
8.672821474663271468e-01,4.245769603446869489e-01,-2.171034489873957529e-01,4.146890501810898688e-02
8.614615049095774024e-01,4.141234216326114548e-01,-1.968144932196303487e-01,4.756695844847502047e-02
8.657383487481028483e-01,3.989732478259949144e-01,-2.000407813810217428e-01,6.201055967010794812e-02
8.594428340942701361e-01,3.933798738334607914e-01,-2.145495457152566676e-01,4.898735136268506790e-02
8.595359329513102553e-01,3.677235365415190693e-01,-2.272090633548155270e-01,6.640832687790391986e-02
8.643471649101374110e-01,3.617992102321415659e-01,-2.098701755660185853e-01,7.213810522348801380e-02
8.566464948885733621e-01,3.421491758083710644e-01,-2.237420936775330604e-01,6.971995458343976937e-02
8.621198761228546781e-01,3.387437305517129182e-01,-2.231116343037135574e-01,7.253147580638988345e-02
8.582132347363466973e-01,3.277041329082137078e-01,-2.222602731108266894e-01,9.034777709612094865e-02
8.559522919542884578e-01,3.066838589195259313e-01,-2.339041284180370106e-01,7.849222036783866374e-02
8.573562806396598512e-01,2.868901532976071422e-01,-2.322951983997023628e-01,9.888893111442587092e-02
