S0,S1,S2,S3
9.172778330485750198e-01,6.446284411628480093e-01,2.646231679873644604e-01,-1.219062704391273982e-01
9.192837865316335622e-01,6.533304425622854517e-01,2.703852944703550309e-01,-1.087465415467908231e-01
9.222358620206244639e-01,6.618514280401122107e-01,2.835022554294746588e-01,-9.282358178190225351e-02
9.234835524511502136e-01,6.667485496639999898e-01,2.842136373819286743e-01,-8.278533070112509273e-02
9.274998153598795758e-01,6.775921333179605321e-01,2.975418021551039516e-01,-6.874760753804487479e-02
9.309915676228109893e-01,6.839453995971855882e-01,3.110002822047301940e-01,-5.450021117019369227e-02
9.332371704639133014e-01,6.887384704625026943e-01,3.174162359931875788e-01,-3.979680753614810162e-02
9.362605348881041234e-01,6.937607072593851010e-01,3.270444709380894155e-01,-2.591758388257570100e-02
9.410759531629232510e-01,7.016162161081604953e-01,3.402772684117876811e-01,-1.220093553697258401e-02
9.429550028282102092e-01,7.060100887627887012e-01,3.501873975630976354e-01,2.361439316254698977e-03
9.450634229586721835e-01,7.079024054264321242e-01,3.550127968505356613e-01,1.453851703148902573e-02
9.490827709716762595e-01,7.122561852320018483e-01,3.717268684441161763e-01,3.110909734960809123e-02
9.535997484912901445e-01,7.189935330125669655e-01,3.906662280430608924e-01,4.807363481669060107e-02
9.561054223364173765e-01,7.205856425873351512e-01,4.059997360731134597e-01,6.365651645767939071e-02
9.586086614101293479e-01,7.218078822314119014e-01,4.176569599850034065e-01,7.960314192465514638e-02
9.627020334755841402e-01,7.280771583282845683e-01,4.435327516567953432e-01,9.762937187152251339e-02
9.658395652331503989e-01,7.319667116144165098e-01,4.600539946149456161e-01,1.134898038870117976e-01
9.682343942790361258e-01,7.317959066784330835e-01,4.725408932419600805e-01,1.247386194074319304e-01
9.723507336374619392e-01,7.351945392684824387e-01,4.953493779317503232e-01,1.402657357933226878e-01
9.778477571006618518e-01,7.373576746237573420e-01,5.214890273814875021e-01,1.564842446042332413e-01
9.828497298293104034e-01,7.381385046457027421e-01,5.402851708257874197e-01,1.705638089898511567e-01
9.879703162903831215e-01,7.370172466485589435e-01,5.671775587796263896e-01,1.827958152925295010e-01
9.941353365422929134e-01,7.383508452015437040e-01,5.946845918108336626e-01,1.987439302114200335e-01
9.963767068296369711e-01,7.330516204139168046e-01,6.090132902290816830e-01,2.100359687048804491e-01
9.995638490286236078e-01,7.272599567268489551e-01,6.230363513335985814e-01,2.198999620206574523e-01
1.002552955332659534e+00,7.251879856185963202e-01,6.445773629923966519e-01,2.293569204606516476e-01
1.006377636766462969e+00,7.234874275006386579e-01,6.657440681335324850e-01,2.416688050861564852e-01
1.007782041406189544e+00,7.154186238223780858e-01,6.793438979871294636e-01,2.504134928409505467e-01
1.012587390140718080e+00,7.140202151671719566e-01,7.091616200609558440e-01,2.624067498131423815e-01
1.016890077314029694e+00,7.132990514308800156e-01,7.352225835238572760e-01,2.711008243634439596e-01
1.020077679342330956e+00,7.078998342132059030e-01,7.546346255407235804e-01,2.838744650093727451e-01
1.022861606325365047e+00,7.035790849720309215e-01,7.746595027814150436e-01,2.908808150125485881e-01
1.026806997484946082e+00,7.006366531139539555e-01,8.027853652255511063e-01,3.032367220147028641e-01
