Time(s),Voltage(V)
-5.000000000000000409e-06,0.000000000000000000e+00
-4.990000000000000505e-06,4.000000000000000083e-02
-4.979999999999999753e-06,0.000000000000000000e+00
-4.969999999999999849e-06,0.000000000000000000e+00
-4.959999999999999945e-06,1.199999999999999956e-01
-4.950000000000000041e-06,-4.000000000000000083e-02
-4.940000000000000136e-06,-4.000000000000000083e-02
-4.930000000000000232e-06,4.000000000000000083e-02
-4.920000000000000328e-06,0.000000000000000000e+00
-4.910000000000000424e-06,-4.000000000000000083e-02
-4.900000000000000519e-06,-4.000000000000000083e-02
-4.889999999999999768e-06,4.000000000000000083e-02
-4.879999999999999864e-06,1.199999999999999956e-01
-4.869999999999999960e-06,-4.000000000000000083e-02
-4.860000000000000055e-06,-4.000000000000000083e-02
-4.850000000000000151e-06,-4.000000000000000083e-02
-4.840000000000000247e-06,4.000000000000000083e-02
-4.830000000000000343e-06,0.000000000000000000e+00
-4.820000000000000438e-06,-4.000000000000000083e-02
-4.809999999999999687e-06,-4.000000000000000083e-02
-4.799999999999999783e-06,0.000000000000000000e+00
-4.789999999999999879e-06,4.000000000000000083e-02
-4.779999999999999974e-06,-4.000000000000000083e-02
-4.770000000000000070e-06,0.000000000000000000e+00
-4.760000000000000166e-06,-4.000000000000000083e-02
-4.750000000000000262e-06,8.000000000000000167e-02
-4.740000000000000357e-06,0.000000000000000000e+00
-4.730000000000000453e-06,0.000000000000000000e+00
-4.719999999999999702e-06,4.000000000000000083e-02
-4.709999999999999797e-06,0.000000000000000000e+00
-4.699999999999999893e-06,4.000000000000000083e-02
-4.689999999999999989e-06,1.199999999999999956e-01
-4.680000000000000085e-06,0.000000000000000000e+00
-4.670000000000000180e-06,4.000000000000000083e-02
-4.660000000000000276e-06,0.000000000000000000e+00
-4.650000000000000372e-06,4.000000000000000083e-02
-4.640000000000000468e-06,0.000000000000000000e+00
-4.629999999999999716e-06,4.000000000000000083e-02
-4.619999999999999812e-06,0.000000000000000000e+00
-4.609999999999999908e-06,0.000000000000000000e+00
-4.600000000000000004e-06,4.000000000000000083e-02
-4.590000000000000099e-06,8.000000000000000167e-02
-4.580000000000000195e-06,0.000000000000000000e+00
-4.570000000000000291e-06,0.000000000000000000e+00
-4.560000000000000387e-06,0.000000000000000000e+00
-4.550000000000000482e-06,8.000000000000000167e-02
-4.539999999999999731e-06,0.000000000000000000e+00
-4.529999999999999827e-06,0.000000000000000000e+00
-4.519999999999999923e-06,8.000000000000000167e-02
-4.510000000000000018e-06,0.000000000000000000e+00
-4.500000000000000114e-06,4.000000000000000083e-02
-4.490000000000000210e-06,4.000000000000000083e-02
-4.480000000000000305e-06,8.000000000000000167e-02
-4.470000000000000401e-06,4.000000000000000083e-02
